username,datetime,words
user3,2023-03-14T10:40:10,14
user14,2023-03-14T10:40:40,12
user14,2023-03-14T10:41:31,14
user3,2023-03-14T10:41:38,25
user3,2023-03-14T10:41:58,4
user14,2023-03-14T10:42:15,5
user3,2023-03-27T11:38:47,25
user3,2023-03-28T08:34:56,37
user3,2023-03-29T09:41:42,23
user4,2023-03-30T16:02:04,2
user4,2023-03-30T16:02:30,16
user4,2023-03-30T16:02:37,3
user4,2023-03-30T16:03:21,11
user4,2023-03-30T16:04:39,32
user4,2023-03-30T16:08:40,8
user4,2023-03-30T16:09:22,10
user12,2023-03-30T16:17:50,22
user11,2023-03-30T17:55:35,12
user1,2023-03-30T18:01:13,16
user4,2023-03-30T18:04:17,11
user11,2023-03-30T18:04:41,2
user4,2023-03-30T18:05:30,4
user4,2023-04-03T17:12:26,13
user4,2023-04-03T17:12:54,16
user4,2023-04-03T17:13:23,4
user10,2023-04-03T17:15:20,12
user4,2023-04-03T17:16:53,12
user4,2023-04-03T17:17:26,5
user10,2023-04-03T17:17:32,16
user4,2023-04-03T17:17:38,5
user0,2023-04-03T17:17:40,27
user4,2023-04-03T17:17:56,5
user1,2023-04-03T17:18:25,2
user11,2023-04-03T17:18:30,11
user4,2023-04-03T17:19:52,32
user13,2023-04-03T17:56:37,25
user4,2023-04-03T17:58:21,2
user4,2023-04-03T17:58:33,2
user4,2023-04-03T17:58:49,2
user4,2023-04-03T18:07:00,3
user4,2023-04-03T18:07:48,29
user4,2023-04-03T18:09:42,13
user6,2023-04-03T18:10:08,14
user4,2023-04-03T18:10:12,15
user4,2023-04-03T18:10:24,4
user6,2023-04-03T18:10:38,1
user4,2023-04-03T18:10:38,4
user4,2023-04-03T18:10:45,1
user4,2023-04-03T18:11:37,7
user6,2023-04-03T18:12:36,3
user4,2023-04-03T18:13:34,1
user14,2023-04-13T15:07:49,37
user3,2023-04-13T15:09:44,31
user2,2023-04-13T22:44:29,19
user4,2023-04-13T22:44:57,4
user4,2023-04-13T22:45:01,2
user4,2023-04-13T22:45:09,3
user3,2023-04-14T09:28:13,15
user3,2023-04-18T09:25:43,10
user3,2023-04-18T09:25:51,2
user3,2023-04-18T09:30:43,6
user3,2023-04-18T09:43:35,34
user3,2023-04-18T10:09:05,33
user4,2023-04-18T11:07:56,56
user6,2023-04-18T11:14:54,7
user7,2023-04-18T11:18:17,4
user3,2023-04-18T11:25:59,4
user3,2023-04-25T17:41:34,4
user3,2023-05-05T13:13:00,36
user3,2023-05-19T23:09:02,40
user3,2023-05-19T23:11:41,4
user4,2023-05-20T12:49:28,30
user4,2023-05-20T12:49:53,17
user3,2023-06-06T14:31:33,52
user3,2023-06-09T11:42:51,25
user2,2023-06-09T12:14:26,6
user3,2023-06-09T12:18:15,3
user2,2023-06-09T12:19:15,1
user3,2023-06-09T16:17:36,12
user14,2023-06-09T17:55:01,13
user3,2023-06-09T17:55:37,10
user3,2023-06-09T17:58:55,7
user3,2023-06-09T17:59:29,6
user8,2023-06-09T17:59:58,12
user14,2023-06-09T18:01:08,4
user3,2023-06-09T18:02:00,1
user10,2023-06-09T18:02:07,11
user3,2023-06-09T18:02:20,5
user8,2023-06-09T18:03:07,3
user2,2023-06-11T13:19:16,11
user3,2023-06-11T16:59:51,3
user15,2023-06-14T17:07:19,85
user3,2023-06-15T17:12:57,13
user11,2023-06-15T17:15:36,8
user3,2023-06-15T17:16:00,7
user14,2023-06-15T17:51:45,11
user3,2023-06-15T17:52:01,3
user3,2023-07-03T14:05:14,49
